,Registration,Ballots Cast,Turnout (%),YES,NO,Under Vote,Over Vote
204310 - Election Day Reporting,1128,415,36.79,313,52,49,0
204600 - Vote by Mail Reporting,1365,386,28.28,274,49,51,0
204600 - Election Day Reporting,1365,552,40.44,361,74,111,0
204900 - Vote by Mail Reporting,1726,281,16.28,173,35,59,0
204900 - Election Day Reporting,1726,631,36.56,423,49,162,0
205000 - Vote by Mail Reporting,640,359,56.09,240,68,35,0
205000 - Election Day Reporting,640,182,28.44,120,38,24,0
205100 - Vote by Mail Reporting,739,397,53.72,266,96,26,0
205100 - Election Day Reporting,739,236,31.94,156,49,31,0
205200 - Vote by Mail Reporting,842,456,54.16,306,107,37,1
205200 - Election Day Reporting,842,265,31.47,174,46,45,0
205500 - Vote by Mail Reporting,781,397,50.83,260,86,43,0
205500 - Election Day Reporting,781,255,32.65,172,48,35,0
205600 - Vote by Mail Reporting,1162,606,52.15,380,138,70,0
205600 - Election Day Reporting,1162,371,31.93,263,53,54,0
205700 - Vote by Mail Reporting,843,375,44.48,237,90,39,0
205700 - Election Day Reporting,843,333,39.5,222,70,40,1
205800 - Vote by Mail Reporting,691,373,53.98,254,66,41,1
205800 - Election Day Reporting,691,198,28.65,142,38,17,0
205900 - Vote by Mail Reporting,735,361,49.12,269,49,34,0
205900 - Election Day Reporting,735,270,36.73,184,50,36,0
206000 - Vote by Mail Reporting,614,318,51.79,218,63,28,1
206000 - Election Day Reporting,614,204,33.22,147,29,28,0
206100 - Vote by Mail Reporting,1120,531,47.41,351,130,33,0
206100 - Election Day Reporting,1120,402,35.89,277,73,53,0
206200 - Vote by Mail Reporting,686,299,43.59,211,51,24,0
206200 - Election Day Reporting,686,257,37.46,189,36,31,0
206400 - Vote by Mail Reporting,1162,507,43.63,344,96,50,1
206400 - Election Day Reporting,1162,426,36.66,297,56,71,1
206500 - Vote by Mail Reporting,876,303,34.59,204,49,38,1
206500 - Election Day Reporting,876,348,39.73,241,39,69,0
206600 - Vote by Mail Reporting,764,229,29.97,162,28,24,0
206600 - Election Day Reporting,764,269,35.21,180,41,48,0
206700 - Vote by Mail Reporting,722,288,39.89,207,44,24,0
206700 - Election Day Reporting,722,275,38.09,194,40,41,0
207000 - Vote by Mail Reporting,612,293,47.88,198,60,29,0
207000 - Election Day Reporting,612,244,39.87,183,40,21,0
207100 - Vote by Mail Reporting,514,259,50.39,194,56,9,0
207100 - Election Day Reporting,514,185,35.99,134,33,18,0
207200 - Vote by Mail Reporting,626,278,44.41,194,48,26,0
207200 - Election Day Reporting,626,250,39.94,174,42,34,0
207300 - Vote by Mail Reporting,600,258,43,176,51,23,0
207300 - Election Day Reporting,600,229,38.17,163,34,32,0
207500 - Vote by Mail Reporting,647,258,39.88,185,44,22,1
207500 - Election Day Reporting,647,253,39.1,178,30,39,1
207600 - Vote by Mail Reporting,905,179,19.78,127,24,28,0
207600 - Election Day Reporting,905,328,36.24,217,26,80,0
207700 - Vote by Mail Reporting,1544,463,29.99,307,78,61,0
207700 - Election Day Reporting,1544,513,33.23,348,53,114,0
208000 - Vote by Mail Reporting,930,342,36.77,244,51,37,0
208000 - Election Day Reporting,930,353,37.96,244,32,75,0
208010 - Vote by Mail Reporting,1159,489,42.19,353,79,48,0
208010 - Election Day Reporting,1159,375,32.36,263,51,52,1
208100 - Vote by Mail Reporting,618,235,38.03,165,40,28,0
208100 - Election Day Reporting,618,259,41.91,183,40,37,0
208110 - Vote by Mail Reporting,658,271,41.19,194,39,25,1
208110 - Election Day Reporting,658,217,32.98,162,24,31,0
208200 - Vote by Mail Reporting,662,269,40.63,181,48,34,1
208200 - Election Day Reporting,662,254,38.37,179,43,31,0
208210 - Vote by Mail Reporting,801,320,39.95,228,48,30,0
208210 - Election Day Reporting,801,265,33.08,194,37,34,0
208300 - Vote by Mail Reporting,947,344,36.33,245,62,34,0
208300 - Election Day Reporting,947,359,37.91,249,45,59,0
208310 - Vote by Mail Reporting,758,223,29.42,166,37,17,0
208310 - Election Day Reporting,758,323,42.61,223,42,49,0
208400 - Vote by Mail Reporting,871,310,35.59,227,42,31,0
208400 - Election Day Reporting,871,350,40.18,248,49,51,0
208500 - Vote by Mail Reporting,772,320,41.45,223,51,36,0
208500 - Election Day Reporting,772,253,32.77,176,45,31,0
208510 - Vote by Mail Reporting,927,360,38.83,244,64,32,0
208510 - Election Day Reporting,927,345,37.22,253,47,42,0
208600 - Vote by Mail Reporting,439,183,41.69,138,23,15,0
208600 - Election Day Reporting,439,197,44.87,143,34,20,0
208610 - Vote by Mail Reporting,903,311,34.44,218,56,30,0
208610 - Election Day Reporting,903,341,37.76,246,47,48,0
208700 - Vote by Mail Reporting,997,302,30.29,217,54,30,0
208700 - Election Day Reporting,997,406,40.72,300,52,51,0
208710 - Vote by Mail Reporting,474,147,31.01,100,35,11,0
208710 - Election Day Reporting,474,183,38.61,128,30,24,0
208800 - Vote by Mail Reporting,996,286,28.71,202,49,29,0
208800 - Election Day Reporting,996,361,36.24,273,43,35,0
208810 - Vote by Mail Reporting,962,330,34.3,260,49,18,0
208810 - Election Day Reporting,962,355,36.9,260,55,41,0
208900 - Vote by Mail Reporting,858,246,28.67,184,36,23,0
208900 - Election Day Reporting,858,370,43.12,244,66,57,0
208910 - Vote by Mail Reporting,860,284,33.02,208,52,25,0
208910 - Election Day Reporting,860,310,36.05,196,50,64,0
209000 - Vote by Mail Reporting,767,316,41.2,228,53,31,0
209000 - Election Day Reporting,767,309,40.29,219,49,40,0
209010 - Vote by Mail Reporting,868,374,43.09,277,59,33,0
209010 - Election Day Reporting,868,307,35.37,210,44,52,0
209100 - Vote by Mail Reporting,778,346,44.47,239,72,27,1
209100 - Election Day Reporting,778,278,35.73,199,35,36,0
209110 - Vote by Mail Reporting,716,306,42.74,216,61,24,0
209110 - Election Day Reporting,716,282,39.39,192,51,37,0
209200 - Vote by Mail Reporting,1096,436,39.78,320,78,33,0
209200 - Election Day Reporting,1096,406,37.04,294,61,43,0
209300 - Vote by Mail Reporting,1222,489,40.02,334,90,46,1
209300 - Election Day Reporting,1222,437,35.76,318,71,48,0
209310 - Vote by Mail Reporting,1225,557,45.47,417,83,44,1
209310 - Election Day Reporting,1225,449,36.65,308,76,66,0
209400 - Vote by Mail Reporting,1014,500,49.31,371,81,41,0
209400 - Election Day Reporting,1014,333,32.84,225,50,56,0
209410 - Vote by Mail Reporting,695,354,50.94,260,52,34,0
209410 - Election Day Reporting,695,215,30.94,151,30,33,0
209510 - Vote by Mail Reporting,1012,457,45.16,324,69,55,0
209510 - Election Day Reporting,1012,392,38.74,283,64,45,0
209600 - Vote by Mail Reporting,848,308,36.32,217,54,31,0
209600 - Election Day Reporting,848,384,45.28,265,67,46,1
209610 - Vote by Mail Reporting,662,229,34.59,174,30,20,0
209610 - Election Day Reporting,662,238,35.95,174,31,32,0
209700 - Vote by Mail Reporting,867,349,40.25,228,71,46,0
209700 - Election Day Reporting,867,327,37.72,231,48,47,0
209710 - Vote by Mail Reporting,861,261,30.31,181,52,19,1
209710 - Election Day Reporting,861,384,44.6,272,67,45,0
209800 - Vote by Mail Reporting,792,277,34.97,201,47,21,0
209800 - Election Day Reporting,792,334,42.17,255,45,33,0
209900 - Vote by Mail Reporting,793,310,39.09,230,43,31,0
209900 - Election Day Reporting,793,292,36.82,191,57,44,0
213100 - Vote by Mail Reporting,1047,595,56.83,374,155,50,2
213100 - Election Day Reporting,1047,299,28.56,199,76,23,0
213300 - Vote by Mail Reporting,1308,761,58.18,425,262,58,1
213300 - Election Day Reporting,1308,353,26.99,207,102,43,0
213400 - Vote by Mail Reporting,679,359,52.87,212,110,31,1
213400 - Election Day Reporting,679,216,31.81,120,72,24,0
213500 - Vote by Mail Reporting,1182,662,56.01,339,255,54,1
213500 - Election Day Reporting,1182,327,27.66,175,107,44,0
213600 - Vote by Mail Reporting,798,411,51.5,233,131,38,0
213600 - Election Day Reporting,798,265,33.21,149,77,39,0
213700 - Vote by Mail Reporting,730,318,43.56,185,89,35,1
213700 - Election Day Reporting,730,307,42.05,180,71,56,0
213800 - Vote by Mail Reporting,1045,564,53.97,319,182,55,0
213800 - Election Day Reporting,1045,314,30.05,204,73,36,0
213900 - Vote by Mail Reporting,572,283,49.48,157,106,19,0
213900 - Election Day Reporting,572,210,36.71,118,65,27,0
214100 - Vote by Mail Reporting,790,395,50,227,121,40,0
214100 - Election Day Reporting,790,282,35.7,188,58,36,1
214200 - Vote by Mail Reporting,1124,629,55.96,374,181,61,0
214200 - Election Day Reporting,1124,347,30.87,203,94,47,0
214300 - Vote by Mail Reporting,631,343,54.36,208,103,22,1
214300 - Election Day Reporting,631,204,32.33,117,62,25,0
214400 - Vote by Mail Reporting,711,379,53.31,254,98,26,0
214400 - Election Day Reporting,711,255,35.86,146,83,25,0
214500 - Vote by Mail Reporting,614,316,51.47,193,81,36,0
