,Registration,Ballots Cast,Turnout (%),YES,NO,Under Vote,Over Vote
9510140 - Vote by Mail Reporting,0,0,0,0,0,0,0
9510140 - Election Day Reporting,0,0,0,0,0,0,0
9510150 - Vote by Mail Reporting,7,7,100,2,5,1,0
9510150 - Election Day Reporting,7,0,0,0,0,0,0
9510300 - Vote by Mail Reporting,326,206,63.19,61,129,14,0
9510300 - Election Day Reporting,326,28,8.59,10,16,2,0
9510320 - Vote by Mail Reporting,0,0,0,1,0,0,0
9510320 - Election Day Reporting,0,0,0,0,0,0,0
9510410 - Vote by Mail Reporting,101,61,60.4,24,37,1,0
9510410 - Election Day Reporting,101,1,0.99,0,1,0,0
9510500 - Vote by Mail Reporting,209,152,72.73,48,92,11,0
9510500 - Election Day Reporting,209,13,6.22,6,5,2,0
9510610 - Vote by Mail Reporting,43,34,79.07,11,17,5,0
9510610 - Election Day Reporting,43,0,0,0,0,0,0
9510700 - Vote by Mail Reporting,0,0,0,1,0,0,0
9510700 - Election Day Reporting,0,0,0,0,0,0,0
9510720 - Vote by Mail Reporting,0,0,0,0,0,0,0
9510720 - Election Day Reporting,0,0,0,0,0,0,0
9510730 - Vote by Mail Reporting,2,2,100,2,0,0,0
9510730 - Election Day Reporting,2,0,0,0,0,0,0
9510810 - Vote by Mail Reporting,259,210,81.08,60,133,16,1
9510810 - Election Day Reporting,259,6,2.32,4,0,2,0
9510840 - Vote by Mail Reporting,245,191,77.96,58,105,23,0
9510840 - Election Day Reporting,245,5,2.04,2,1,2,0
9510890 - Vote by Mail Reporting,0,0,0,0,0,0,0
9510890 - Election Day Reporting,0,0,0,0,0,0,0
9510910 - Vote by Mail Reporting,0,0,0,0,0,0,0
9510910 - Election Day Reporting,0,0,0,0,0,0,0
9510920 - Vote by Mail Reporting,0,0,0,0,0,0,0
9510920 - Election Day Reporting,0,0,0,0,0,0,0
9510950 - Vote by Mail Reporting,0,0,0,1,0,0,0
9510950 - Election Day Reporting,0,0,0,0,0,0,0
9510960 - Vote by Mail Reporting,0,0,0,0,0,0,0
9510960 - Election Day Reporting,0,0,0,0,0,0,0
9510970 - Vote by Mail Reporting,0,0,0,0,0,0,0
9510970 - Election Day Reporting,0,0,0,0,0,0,0
9510980 - Vote by Mail Reporting,0,0,0,0,0,0,0
9510980 - Election Day Reporting,0,0,0,0,0,0,0
9510990 - Vote by Mail Reporting,0,0,0,0,0,0,0
9510990 - Election Day Reporting,0,0,0,0,0,0,0
9511000 - Vote by Mail Reporting,0,0,0,0,0,0,0
9511000 - Election Day Reporting,0,0,0,0,0,0,0
9520250 - Vote by Mail Reporting,375,285,76,107,138,38,0
9520250 - Election Day Reporting,375,8,2.13,2,5,1,0
9520720 - Vote by Mail Reporting,90,75,83.33,21,48,7,0
9520720 - Election Day Reporting,90,1,1.11,1,0,0,0
9520730 - Vote by Mail Reporting,0,0,0,0,0,0,0
9520730 - Election Day Reporting,0,0,0,0,0,0,0
9521700 - Vote by Mail Reporting,9,9,100,4,4,1,0
9521700 - Election Day Reporting,9,0,0,0,0,0,0
9522160 - Vote by Mail Reporting,432,293,67.82,163,101,24,0
9522160 - Election Day Reporting,432,16,3.7,7,4,5,0
9523100 - Vote by Mail Reporting,490,371,75.71,145,191,33,0
9523100 - Election Day Reporting,490,16,3.27,9,6,1,0
9523120 - Vote by Mail Reporting,0,0,0,0,0,0,0
9523120 - Election Day Reporting,0,0,0,0,0,0,0
9530200 - Vote by Mail Reporting,0,0,0,0,0,0,0
9530200 - Election Day Reporting,0,0,0,0,0,0,0
9532000 - Vote by Mail Reporting,0,0,0,0,0,0,0
9532000 - Election Day Reporting,0,0,0,0,0,0,0
9532100 - Vote by Mail Reporting,0,0,0,0,0,0,0
9532100 - Election Day Reporting,0,0,0,0,0,0,0
9532200 - Vote by Mail Reporting,0,0,0,0,0,0,0
9532200 - Election Day Reporting,0,0,0,0,0,0,0
9532400 - Vote by Mail Reporting,0,0,0,0,0,0,0
9532400 - Election Day Reporting,0,0,0,0,0,0,0
9535000 - Vote by Mail Reporting,5,4,80,0,4,0,0
9535000 - Election Day Reporting,5,0,0,0,0,0,0
9535020 - Vote by Mail Reporting,0,0,0,0,0,0,0
9535020 - Election Day Reporting,0,0,0,0,0,0,0
9535030 - Vote by Mail Reporting,0,0,0,0,0,0,0
9535030 - Election Day Reporting,0,0,0,0,0,0,0
9535040 - Vote by Mail Reporting,2,2,100,2,0,0,0
9535040 - Election Day Reporting,2,0,0,0,0,0,0
9535050 - Vote by Mail Reporting,0,0,0,0,0,0,0
9535050 - Election Day Reporting,0,0,0,0,0,0,0
9535060 - Vote by Mail Reporting,0,0,0,0,0,0,0
9535060 - Election Day Reporting,0,0,0,0,0,0,0
9535070 - Vote by Mail Reporting,0,0,0,0,0,0,0
9535070 - Election Day Reporting,0,0,0,0,0,0,0
9535090 - Vote by Mail Reporting,0,0,0,0,0,0,0
9535090 - Election Day Reporting,0,0,0,0,0,0,0
9535200 - Vote by Mail Reporting,0,0,0,0,0,0,0
9535200 - Election Day Reporting,0,0,0,0,0,0,0
9535300 - Vote by Mail Reporting,66,46,69.7,19,24,2,0
9535300 - Election Day Reporting,66,0,0,0,0,0,0
9535400 - Vote by Mail Reporting,5,3,60,1,1,1,0
9535400 - Election Day Reporting,5,0,0,0,0,0,0
9535500 - Vote by Mail Reporting,3,3,100,2,1,0,0
9535500 - Election Day Reporting,3,0,0,0,0,0,0
9535600 - Vote by Mail Reporting,0,0,0,0,0,0,0
9535600 - Election Day Reporting,0,0,0,0,0,0,0
9535700 - Vote by Mail Reporting,0,0,0,0,0,0,0
9535700 - Election Day Reporting,0,0,0,0,0,0,0
9535900 - Vote by Mail Reporting,0,0,0,0,0,0,0
9535900 - Election Day Reporting,0,0,0,0,0,0,0
9540400 - Vote by Mail Reporting,271,207,76.38,84,106,14,2
9540400 - Election Day Reporting,271,7,2.58,2,1,4,0
9547710 - Vote by Mail Reporting,412,331,80.34,146,158,24,1
9547710 - Election Day Reporting,412,31,7.52,11,14,6,0
9547720 - Vote by Mail Reporting,196,139,70.92,67,57,13,0
9547720 - Election Day Reporting,196,4,2.04,1,1,2,0
9547770 - Vote by Mail Reporting,9,6,66.67,0,5,1,0
9547770 - Election Day Reporting,9,1,11.11,0,0,1,0
9810900 - Vote by Mail Reporting,0,0,0,0,0,0,0
9810900 - Election Day Reporting,0,0,0,0,0,0,0
9815120 - Vote by Mail Reporting,1,0,0,0,0,0,0
9815120 - Election Day Reporting,1,0,0,0,0,0,0
9819020 - Vote by Mail Reporting,26,20,76.92,2,17,1,0
9819020 - Election Day Reporting,26,0,0,0,0,0,0
9821010 - Vote by Mail Reporting,9,7,77.78,5,1,1,0
9821010 - Election Day Reporting,9,1,11.11,1,0,0,0
9821020 - Vote by Mail Reporting,0,0,0,0,0,0,0
9821020 - Election Day Reporting,0,0,0,0,0,0,0
9821310 - Vote by Mail Reporting,42,32,76.19,20,7,4,0
9821310 - Election Day Reporting,42,0,0,0,0,0,0
9821720 - Vote by Mail Reporting,42,21,50,5,14,2,0
9821720 - Election Day Reporting,42,0,0,0,0,0,0
9822020 - Vote by Mail Reporting,246,174,70.73,96,59,19,0
9822020 - Election Day Reporting,246,6,2.44,3,0,2,0
9823030 - Vote by Mail Reporting,0,0,0,0,0,0,0
9823030 - Election Day Reporting,0,0,0,0,0,0,0
9823040 - Vote by Mail Reporting,0,0,0,0,0,0,0
9823040 - Election Day Reporting,0,0,0,0,0,0,0
9831220 - Vote by Mail Reporting,14,11,78.57,5,4,2,0
9831220 - Election Day Reporting,14,0,0,0,0,0,0
9834020 - Vote by Mail Reporting,0,0,0,0,0,0,0
9834020 - Election Day Reporting,0,0,0,0,0,0,0
9837020 - Vote by Mail Reporting,0,0,0,0,0,0,0
9837020 - Election Day Reporting,0,0,0,0,0,0,0
9837410 - Vote by Mail Reporting,0,0,0,0,0,0,0
9837410 - Election Day Reporting,0,0,0,0,0,0,0
9839000 - Vote by Mail Reporting,6,6,100,4,2,0,0
9839000 - Election Day Reporting,6,0,0,0,0,0,0
9839030 - Vote by Mail Reporting,0,0,0,0,0,0,0
9839030 - Election Day Reporting,0,0,0,0,0,0,0
9839060 - Vote by Mail Reporting,0,0,0,0,0,0,0
9839060 - Election Day Reporting,0,0,0,0,0,0,0
9839120 - Vote by Mail Reporting,4,1,25,1,0,0,0
9839120 - Election Day Reporting,4,0,0,0,0,0,0
9839200 - Vote by Mail Reporting,1,0,0,0,0,0,0
9839200 - Election Day Reporting,1,1,100,0,1,0,0
9839210 - Vote by Mail Reporting,7,7,100,5,2,0,0
9839210 - Election Day Reporting,7,0,0,0,0,0,0
9839220 - Vote by Mail Reporting,2,0,0,0,0,0,0
9839220 - Election Day Reporting,2,0,0,0,0,0,0
9839230 - Vote by Mail Reporting,0,0,0,0,0,0,0
9839230 - Election Day Reporting,0,0,0,0,0,0,0
9839240 - Vote by Mail Reporting,65,49,75.38,16,29,4,0
9839240 - Election Day Reporting,65,1,1.54,0,0,1,0
9839300 - Vote by Mail Reporting,11,5,45.45,2,3,0,0
9839300 - Election Day Reporting,11,0,0,0,0,0,0
9839310 - Vote by Mail Reporting,15,9,60,3,6,0,0
9839310 - Election Day Reporting,15,0,0,0,0,0,0
9839330 - Vote by Mail Reporting,123,94,76.42,46,39,8,0
9839330 - Election Day Reporting,123,7,5.69,4,1,2,0
9839360 - Vote by Mail Reporting,5,4,80,1,3,0,0
9839360 - Election Day Reporting,5,1,20,0,1,0,0
9839400 - Vote by Mail Reporting,0,0,0,0,0,0,0
9839400 - Election Day Reporting,0,0,0,0,0,0,0
9839500 - Vote by Mail Reporting,0,0,0,0,0,0,0
9839500 - Election Day Reporting,0,0,0,0,0,0,0
9839510 - Vote by Mail Reporting,157,106,67.52,54,44,7,0
9839510 - Election Day Reporting,157,4,2.55,1,0,3,0
9866820 - Vote by Mail Reporting,111,83,74.77,38,41,2,0
9866820 - Election Day Reporting,111,4,3.6,1,3,0,0
9866900 - Vote by Mail Reporting,0,0,0,0,0,0,0
9866900 - Election Day Reporting,0,0,0,0,0,0,0
9866910 - Vote by Mail Reporting,98,74,75.51,19,51,4,0
9866910 - Election Day Reporting,98,6,6.12,3,2,1,0
9866920 - Vote by Mail Reporting,0,0,0,0,0,0,0
9866920 - Election Day Reporting,0,0,0,0,0,0,0
9866930 - Vote by Mail Reporting,0,0,0,0,0,0,0
9866930 - Election Day Reporting,0,0,0,0,0,0,0
9867100 - Vote by Mail Reporting,31,27,87.1,7,12,8,0
9867100 - Election Day Reporting,31,0,0,0,0,0,0
9867200 - Vote by Mail Reporting,80,62,77.5,17,35,6,0
9867200 - Election Day Reporting,80,1,1.25,0,0,1,0
9867320 - Vote by Mail Reporting,0,0,0,0,0,0,0
9867320 - Election Day Reporting,0,0,0,0,0,0,0
9870000 - Vote by Mail Reporting,192,164,85.42,64,80,20,0
9870000 - Election Day Reporting,192,0,0,0,0,0,0
9870010 - Vote by Mail Reporting,290,231,79.66,85,115,28,1
9870010 - Election Day Reporting,290,4,1.38,2,0,2,0
9870100 - Vote by Mail Reporting,225,175,77.78,49,117,9,0
9870100 - Election Day Reporting,225,1,0.44,1,0,0,0
9870110 - Vote by Mail Reporting,0,0,0,0,0,0,0
9870110 - Election Day Reporting,0,0,0,0,0,0,0
9870150 - Vote by Mail Reporting,0,0,0,0,0,0,0
9870150 - Election Day Reporting,0,0,0,0,0,0,0
9880200 - Vote by Mail Reporting,28,23,82.14,5,17,1,0
9880200 - Election Day Reporting,28,0,0,0,0,0,0
9880400 - Vote by Mail Reporting,0,0,0,0,0,0,0
9880400 - Election Day Reporting,0,0,0,0,0,0,0
9880500 - Vote by Mail Reporting,0,0,0,0,0,0,0
9880500 - Election Day Reporting,0,0,0,0,0,0,0
